Frequency,CustGender,CustAccountBalance,TransactionAmount (INR),CustomerAge,Recency,Label
1,M,29100.95,958.0,0.0,1,5
1,M,567819.93,850.0,0.0,1,5
1,M,87707.74,2797.0,0.0,1,5
1,M,98663.55,413.0,0.0,1,5
1,M,91405.56,487.0,0.0,1,5
1,M,228814.79,5608.5,0.0,1,5
1,M,740143.48,1576.0,0.0,1,5
1,M,114099.59,1512.75,0.0,1,5
1,F,18723.43,130.0,0.0,1,5
1,M,204792.69,260.0,0.0,1,5
1,M,14521.96,1371.0,0.0,1,5
1,M,22775.48,4777.81,0.0,1,5
1,M,18280.25,1560.0,0.0,1,5
1,M,98905.62,1750.0,0.0,1,5
1,M,2941.72,330.0,0.0,1,5
1,M,54311.94,2000.0,0.0,1,5
1,M,137645.76,2104.0,0.0,1,5
1,M,398326.19,369.0,0.0,1,5
1,M,25525.44,199.5,0.0,1,5
1,M,253021.31,2007.0,0.0,1,5
1,M,567819.93,600.0,0.0,1,5
1,F,0.0,3050.0,0.0,1,5
1,M,139710.09,13769.0,0.0,1,5
1,F,6796.44,100.0,0.0,1,5
1,M,46.17,1623.0,0.0,1,5
1,F,75841.89,16990.0,0.0,1,5
1,M,11461.07,1000.0,0.0,1,5
1,M,10770.34,245.0,0.0,1,5
1,M,2574.46,238.2,0.0,1,5
1,M,7478.52,289.0,0.0,1,5
1,M,10156.77,44.0,0.0,1,5
1,F,8042.15,170.0,0.0,1,5
1,M,19021.55,4951.0,0.0,1,5
1,M,20770.16,367.0,0.0,1,5
1,M,27179.37,5060.0,0.0,1,5
1,F,15126.37,25.0,0.0,1,5
1,M,12802.72,601.0,0.0,1,5
1,M,5.15,360.0,0.0,1,5
1,M,16285.46,1000.0,0.0,1,5
1,F,165030.31,100.0,0.0,1,5
1,M,5259.78,1235.0,0.0,1,5
1,F,124127.77,6021.0,0.0,1,5
1,F,103039.36,5.63,0.0,1,5
1,M,11275.28,600.0,0.0,1,5
1,M,119416.19,1092.0,0.0,1,5
1,M,1391.03,12776.0,0.0,1,5
1,F,230.35,38.0,0.0,1,5
1,F,13926.0,149.0,0.0,1,5
1,F,38457.11,657.0,0.0,1,5
1,M,13629.05,500.0,0.0,1,5
1,F,869.84,160.0,0.0,1,5
1,M,427665.74,13687.0,0.0,1,5
1,M,18351.79,300.0,0.0,1,5
